method,condition/dataset,model,table_source,full_kv_value,compressed_value,paired_relative_delta_pct,evidence_class,native_safe_lt10,crossing_ge10,floor_excluded_lt5,ceiling_excluded_gt95,ambiguous_native_also_ge10,measure_flagged,notes
KIVI,"LongBench MultiNews (in-suite obs, E2 B3 Falcon)",Falcon-7B (MQA),KIVI.md sec10 Table4,11.09,6.78,-38.86,within-paper,0,1,0,0,0,0,"VERIFIED vs plan -38.9%. Baseline 11.09 >= 5, NOT floor-excluded. In-suite observation, never H1 evidence (revision R1). Largest in-paper KIVI delta."
KIVI,"LongBench TREC (in-suite obs, E2 B3 Falcon)",Falcon-7B (MQA),KIVI.md sec10 Table4,13.00,10.00,-23.08,within-paper,0,1,0,0,0,0,"VERIFIED vs plan -23.1%. Baseline 13 >= 5, NOT floor-excluded. In-suite observation, never H1 evidence (revision R1)."
KIVI,"infBench En.Sum (non-native H1, E2 B2)",Llama-2-7B,not found in KIVI.md,NA,NA,NA,none,0,0,0,0,0,1,"KIVI paper never evaluates infBench. No anchor. Flag MEASURE (E2 B2 open cell)."
KIVI,"long-decode phase output>=1024 (non-native H1, E2 B2)",Llama-2-7B,not found in KIVI.md,NA,NA,NA,none,0,0,0,0,0,1,"KIVI paper has no decode-phase (forced long output) cell; NIAH is retrieval not long decode. Flag MEASURE (E2 B2 open cell)."
KIVI,"CoQA (native sup)",Llama-2-13B,KIVI.md sec10 Table3,66.37,66.23,-0.21,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY (not in plan cell list). Native-safe, consistent."
KIVI,"GSM8K 5-shot (native sup)",Llama-2-13B,KIVI.md sec10 Table3,22.67,20.77,-8.38,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Note: 20.77 is the G=32 value reused in H3 G-sweep (Table5). Native-safe (-8.4% < 10%)."
KIVI,"CoQA (native sup)",Mistral-7B,KIVI.md sec10 Table3,67.40,66.35,-1.56,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Native-safe."
KIVI,"GSM8K 5-shot (native sup)",Mistral-7B,KIVI.md sec10 Table3,38.36,36.01,-6.13,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Native-safe."
KIVI,"LongBench-8 avg (native sup)",Llama-2-7B,KIVI.md sec10 Table4,44.52,44.27,-0.56,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. LongBench avg: Qasper 9.52->9.31, MultiNews 3.51->1.14 (small base, abs -2.37), SAMSum 41.69->42.71 (+)."
KIVI,"LongBench-8 avg (native sup)",Falcon-7B (MQA),KIVI.md sec10 Table4,8.71,7.95,-8.73,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Avg under 10% but per-task crossing (MultiNews -38.9%, TREC -23.1%): layout-specific fragility warning on MQA track."
KIVI,"LongBench-8 avg (native sup)",Mistral-7B,KIVI.md sec10 Table4,46.58,45.85,-1.57,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Native-safe."
GEAR,"CoT trio avg GSM8k/AQuA/BBH 8-shot (native)",All (9 model x dataset combos),GEAR.md sec10 Table1,40.52,40.20,-0.79,within-paper,1,0,0,0,0,0,"VERIFIED vs plan -0.8%. FP16 40.52 vs GEAR(KIVI g64) 2-bit 40.20. Aggregate across 9 combos; per-model: LLaMA3-8B -2.05%, LLaMA2-13B +0.84%, Mistral -0.52% (all native-safe). GEAR 2-bit backbone = KIVI g=64 nb=64 (GEAR.md sec5)."
GEAR,"LongBench-21 avg 2-bit (borderline, E5-c)",LLaMA-2-7B,GEAR.md sec10 Table2,26.82,25.48,-5.00,within-paper,1,0,0,0,0,0,"VERIFIED vs plan -5.0%. 2-bit GEAR 25.48 vs FP16 26.82. Note: 2-bit per-token quant alone (27.69) and KIVI g32 (27.83) BOTH beat GEAR-2bit avg on LongBench (GEAR.md open question 8). Borderline per-task unresolved."
GEAR,"LongBench-21 per-task 2-bit (E5-c)",LLaMA-2-7B,not found in GEAR.md,NA,NA,NA,none,0,0,0,0,0,1,"Per-task GEAR-2bit values not in note (only QMSum/SAMSum/GovReport GEAR-vs-KIVI comparisons, not vs FP16). Per-task unresolved -> E5-c unconditional. VERIFIED as missing."
GEAR,"CoT trio avg 4-bit (native sup)",All (9 combos),GEAR.md sec10 Table1,40.52,40.80,0.69,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. GEAR 4-bit (KCVT) slightly ABOVE FP16 (+0.28 pts)."
GEAR,"LongBench-21 avg 4-bit (sup)",LLaMA-2-7B,GEAR.md sec10 Table2,26.82,27.80,3.65,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. GEAR 4-bit above FP16 avg; consistent with native-safety."
PyramidKV,"LongBench avg KV=64 (native, E5-a)",Mistral-7B-Instruct,PyramidKV.md sec10 Table1,42.71,32.19,-24.63,within-paper,0,1,0,0,1,0,"VERIFIED vs plan -24.6% (alpha=8 beta=20 KV=64, ~0.7% cache). NATIVE delta >= 10% -> H1 witness-ineligible (K1) -> ambiguous/universal-fragility track. Excluded from E2 kill matrix."
PyramidKV,"LongBench per-task KV=64 (native, E5-a)",Mistral-7B-Instruct,not found in PyramidKV.md,NA,NA,NA,none,0,0,0,0,1,1,"Per-task native values not recorded in note (only TREC 54.00, Qasper 20.21 vs SKV/H2O, no FKV pairs). Ambiguous until E5-a. VERIFIED as missing."
PyramidKV,"LongBench avg KV=64 (sup)",LLaMA-3-8B-Instruct,PyramidKV.md sec10 Table1,41.46,34.76,-16.16,within-paper,0,1,0,0,1,0,"SUPPLEMENTARY. Second model also >= 10% native at KV=64 -> strengthens K1 ambiguous-track for PyramidKV KV=64."
PyramidKV,"LongBench avg KV=64 (sup)",LLaMA-3-70B-Instruct,PyramidKV.md sec10 Table1,46.55,42.01,-9.75,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Borderline: -9.75% just under 10% tolerance. KV=2048: 8B +0.07%, Mistral -2.53%, 70B tied -> performance-preserving point safe."
StreamingLLM,"PG19 PPL stability to 4M tokens (native)","Llama-2 7/13/70B, Falcon 7/40B, Pythia 2.8/6.9/12B, MPT 7/30B",StreamingLLM.md sec10 Fig5,dense diverges at pretraining window,stable (PPL flat),NA,within-paper,1,0,0,0,0,0,"VERIFIED: PPL stable across 4M tokens (Fig.5); no in-paper PPL crossing. PPL-type tolerance 15% applies at E2/E5; in-paper shows no rise. Table1: window-only 0+1024 PPL 5158.07 vs 4 sinks 5.40 (sink-presence effect, not budget-setting effect)."
StreamingLLM,"PG19 400K sink-count sweep (H3 knob)",Falcon-7B,StreamingLLM.md sec10 Table2,12.12 (1+2047),12.12 (4+2044),0.00,within-paper,1,0,0,0,0,0,"VERIFIED flat: 1 sink 12.12 == 4 sinks 12.12; 0 sinks 17.90. Predicted oracle gain <5% -> K2 prune of E4 sink sweep on Falcon. Same flatness on MPT (14.99=14.99), Pythia (11.95 vs 12.09), Llama-2-7B 4 vs 8 sinks (9.59 vs 9.54)."
StreamingLLM,"retrieval at evicted distance (E5-b)",any,not found in StreamingLLM.md,NA,NA,NA,none,0,0,0,0,0,1,"No in-paper test of retrieval beyond the window: StreamEval answers 20 lines prior (within window); note sec13 flags exactly this gap. New measurement required -> E5-b unconditional (needles at 3000/5000/10000, window ~2048)."
SCOPE,"H2 anchor: throughput Full vs Slide (TPOT)",LLaMA-3.1-8B-Instruct,SCOPE.md sec10 Table3,36.57 (tok/s),18.28 (tok/s),-50.02,within-paper,0,0,0,0,0,0,"VERIFIED vs plan +100% TPOT (tok/s halved; TPOT=1/tok/s -> +100%). RTX 3090, eager attention, batch 8 (SCOPE.md sec9). H2 anchor >= 15% TPOT tolerance -> highest-confidence H2 kill cell."
SCOPE,"H2 anchor: throughput Full vs Discontinuous",LLaMA-3.1-8B-Instruct,SCOPE.md sec10 Table3,36.57 (tok/s),25.92 (tok/s),-29.12,within-paper,0,0,0,0,0,0,"VERIFIED vs plan +41% TPOT (TPOT +41.1%). Discontinuous = reduced Top-K frequency; H2 anchor."
SCOPE,"H3 anchor: phase-split prefill-only vs prefill+decode",LLaMA-3.1-8B-Instruct,SCOPE.md sec10 Table2,27.75 (prefill-only SnapKV/PyramidKV),52.17 (prefill+decode SCOPE Slide),88.00,within-paper,0,0,0,0,0,0,"VERIFIED vs plan +88% (same 35% total budget, GSM8K+, 25% decoding). Prefill-only compression loses >45% of quality; adding decode-phase compression recovers to near Full 53.26. H3 anchor >= 10% quality."
SCOPE,"H3 knob: selection frequency Discontinuous vs Slide",LLaMA-3.1-8B-Instruct,SCOPE.md sec10 Table3,18.28 (tok/s Slide),25.92 (tok/s Discontinuous),41.79,within-paper,0,0,0,0,0,0,"VERIFIED vs plan +42% tok/s (TPOT -29.5%, i.e. improvement >15%). Same budget, own-knob change only -> H3 anchor >= 15% TPOT."
SCOPE,"LongGenBench-4K Slide 25% decode (native sup)",LLaMA-3.1-8B-Instruct,SCOPE.md sec10 Table1,59.78,56.21,-5.97,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Native quality cell native-safe. At 12.5% decode: 55.67 (-6.87%)."
SCOPE,"LongGenBench-8K Slide 12.5% decode (native sup)",LLaMA-3.1-8B-Instruct,SCOPE.md sec10 Table1,53.46,49.21,-7.95,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Native-safe (closest SCOPE native cell to tolerance)."
SCOPE,"GSM8K+ Slide decode 25% (native sup)",LLaMA-3.1-8B-Instruct,SCOPE.md sec10 Table2,53.26,52.17,-2.05,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Native-safe; Mistral-7B-v0.3 Adaptive at 25% beats Full (35.01 vs 34.55, +1.3%)."
H2O,"OpenBookQA 5-shot (native)",OPT-30B,H2O.md sec10 Table4,43.20,43.00,-0.46,within-paper,1,0,0,0,0,0,"VERIFIED vs plan -0.5%. 20% KV budget. Native-safe."
H2O,"OpenBookQA 5-shot (native)",OPT-66B,H2O.md sec10 Table4,44.40,44.20,-0.45,within-paper,1,0,0,0,0,0,"VERIFIED vs plan -0.5%. Native-safe."
H2O,"RTE (native)",OPT-66B,H2O.md sec10 main results,NA (abs not in note),NA (abs not in note),0.73,within-paper,1,0,0,0,0,0,"VERIFIED vs plan +0.73% (note records delta verbatim; absolute pair not recorded). Improvement direction."
H2O,"infBench En.Sum long-form (non-native, E5-d)",NA,not found in H2O.md,NA,NA,NA,none,0,0,0,0,0,1,"No long-form summarization data in H2O paper (XSUM/CNN-DM are short-form lm-eval/HELM in-suite). Flag MEASURE -> E5-d unconditional."
H2O,"GSM8K 5-shot CoT (non-native, E5-d)",NA,not found in H2O.md,NA,NA,NA,none,0,0,0,0,0,1,"No CoT/reasoning data in H2O paper (MathQA is in-suite MCQ suite). Flag MEASURE -> E5-d unconditional."
H2O,"COPA 5-shot (native sup)",OPT-30B / OPT-66B,H2O.md sec10 Table4,85.00 / 83.00,84.00 / 82.00,-1.18 / -1.20,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Native-safe."
H2O,"MathQA 5-shot (native sup)",OPT-30B / OPT-66B,H2O.md sec10 Table4,26.23 / 27.87,26.87 / 27.67,2.44 / -0.72,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. Near-zero; 30B slightly above full (regularization effect)."
H2O,"XSUM (native sup)",GPT-NeoX-20B,H2O.md sec10 main results,NA (abs not in note),NA (abs not in note),0.18,within-paper,1,0,0,0,0,0,"SUPPLEMENTARY. +0.18 delta only; LLaMA-13B XSUM and LLaMA-7B CNN/DM: H2O matches full cache at 20% (Local collapses at 60%)."
KIVI,"H3 knob: G sweep 32->64 on GSM8K (R=128)",Llama-2-13B,KIVI.md sec10 Table5,20.77 (G=32),21.00 (G=64),1.11,within-paper,1,0,0,0,0,0,"VERIFIED vs plan +1.1%. In-paper same-budget sweep FLAT -> predicted oracle quality gain <5% -> K2 prune of E4 G in {32,64} on GSM8K."
KIVI,"H3 knob: G sweep 32->128 on GSM8K (R=128)",Llama-2-13B,KIVI.md sec10 Table5,20.77 (G=32),17.29 (G=128),-16.75,within-paper,0,1,0,0,0,0,"VERIFIED vs plan -16.8%. G=128 DEGRADES (coarse scaling factor granularity, KIVI.md sec4.3). Not an oracle gain; supports excluding G>=128."
KIVI,"H3 knob: R sweep 32/64/96/128 on GSM8K (G=32)",Llama-2-13B,KIVI.md sec10 Table5,20.62 (R=32),20.77 (R=128),0.73,within-paper,1,0,0,0,0,0,"VERIFIED vs plan 20.62/19.86/20.55/20.77. Spread <1%; R=64 WORST (19.86), non-monotonic. FLAT by the same <5% criterion -> K2-extension candidate for E4 R-sweep pruning (analyst decision)."
StreamingLLM,"H3 knob: sink count 1 vs 4 on Falcon (PG19 400K)",Falcon-7B,StreamingLLM.md sec10 Table2,12.12 (1+2047),12.12 (4+2044),0.00,within-paper,1,0,0,0,0,0,"VERIFIED flat -> predicted <5% -> K2 prune of E4 sink sweep on Falcon (plan-specified). Note also flat on MPT/Pythia/Llama-2 (4 vs 8 sinks: 9.59 vs 9.54)."
